,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
298,1271,35.224164,-88.246087,205 Main St,Savannah,TN,38372,Hardin County,47071,both
299,1272,35.654845,-88.126236,346 Tennessee Ave N,Parsons,TN,38363,Decatur County,47039,both
300,1274,35.836686,-88.915592,2579 Hwy 45 N By Pass,Humboldt,TN,38343,Gibson County,47053,both
301,1275,35.905789,-88.751779,6076 S 1st St,Milan,TN,38358,Gibson County,47053,both
302,1276,35.441098,-88.631708,438 E Main,Henderson,TN,38340,Chester County,47023,both
303,1278,35.996094,-88.439387,153 Veterans Drive North,Huntingdon,TN,38344,Carroll County,47017,both
304,1280,35.657769,-88.414417,675 C West Church St,Lexington,TN,38351,Henderson County,47077,both
305,1281,35.79441,-88.788838,639 Highway 45e South,Medina,TN,38355,Gibson County,47053,both
306,1289,35.967252,-88.931136,2038 Highway 45 Bypass,Trenton,TN,38382,Gibson County,47053,both
307,1292,35.635171,-87.016889,110 Bear Creek Pike,Columbia,TN,38401,Maury County,47119,both
308,1293,35.605713,-87.065261,1225 Trotwood Ave,Columbia,TN,38401,Maury County,47119,both
309,1296,35.255701,-87.324948,1216 N Locust Ave,Lawrenceburg,TN,38464,Lawrence County,47099,both
310,1297,35.551104,-87.541535,441 E Main St,Hohenwald,TN,38462,Lewis County,47101,both
311,1299,35.547058,-87.199362,817 N Main St,Mt Pleasant,TN,38474,Maury County,47119,both
312,1300,35.2006,-87.042275,812 W College St,Pulaski,TN,38478,Giles County,47055,both
313,1301,35.323743,-87.758968,220 Dexter Woods Memorial Blvd,Waynesboro,TN,38485,Wayne County,47181,both
314,1302,36.137562,-85.502536,1001 S Jefferson St,Cookeville,TN,38501,Putnam County,47141,both
315,1303,36.154155,-85.515202,515 S Willow Ave,Cookeville,TN,38501,Putnam County,47141,both
316,1304,36.182315,-85.460428,300 Bigmac Dr,Algood,TN,38506,Putnam County,47141,both
317,1305,36.432242,-84.933748,401 N Main St,Jamestown,TN,38556,Fentress County,47049,both
318,1312,36.139849,-85.63029,110 Fast Lane,Baxter,TN,38544,Putnam County,47141,both
319,1313,35.962796,-85.037469,1195 N Main St,Crossville,TN,38555,Cumberland County,47035,both
320,1314,35.963939,-84.980937,558 Peavine Rd,Crossville,TN,38555,Cumberland County,47035,both
321,1319,36.379146,-85.333717,820 W Main St,Livingston,TN,38570,Overton County,47133,both
322,1320,35.944403,-85.484912,800 Roosevelt Dr,Sparta,TN,38583,White County,47185,both
