,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS
204,35.6481575,-88.8013458,1592 N. Parkway,Jackson,TN,38301,Madison County,47113
205,35.5700354,-88.8153073,1559 S. Highland,Jackson,TN,38301,Madison County,47113
206,36.120998,-89.2616808,123 East Highway 77,Newbern,TN,38059,Dyer County,47045
207,36.3707227,-89.4675488,640 Carl Perkins Parkway,Tiptonville,TN,38079,Lake County,47095
208,36.4153296,-89.0649016,416 Reelfoot Avenue,Union City,TN,38261,Obion County,47131
209,35.7458001,-89.5330656,171 S. Washington,Ripley,TN,38063,Lauderdale County,47097
210,35.2557527,-88.9918792,407 W. Market Street,Bolivar,TN,38008,Hardeman County,47069
211,35.2432389,-89.3576304,16320 Highway 64,Somerville,TN,38068,Fayette County,47047
212,35.438578,-88.6462566,165 N. CHURCH STREET,HENDERSON,TN,38340,Chester County,47023
213,35.1604595,-88.5823023,589 MULBERRY AVENUE,SELMER,TN,38375,McNairy County,47109
214,35.0455371,-89.7318761,3790 S. Houston Levee Road,Collierville,TN,38017,Shelby County,47157
215,35.0511143,-89.8146022,7450 Winchester Road,Memphis,TN,38125,Shelby County,47157
216,35.0358595,-89.8470817,4130 Kirby Parkway,Memphis,TN,38115,Shelby County,47157
217,35.2349761,-88.3846629,325 Main Street,Adamsville,TN,38310,McNairy County,47109
218,35.2279194,-88.2351267,665 WAYNE ROAD,SAVANNAH,TN,38372,Hardin County,47071
219,35.0203466,-89.9541796,3285 Shelby Drive,Memphis,TN,38118,Shelby County,47157
220,35.0479054,-89.886743,3685 Mendenhall Road South,Memphis,TN,38115,Shelby County,47157
221,36.1284796,-88.5110869,15755 Highland Drive,Mc Kenzie,TN,38201,Carroll County,47017
222,36.2763142,-88.7072661,8545 Highway 22,Dresden,TN,38225,Weakley County,47183
223,36.1515753,-88.8008954,1715 S. Meridian Street,Greenfield,TN,38230,Weakley County,47183
224,35.9163775,-88.7529701,1033 E VAN HOOK,MILAN,TN,38358,Gibson County,47053
225,36.35213,-88.84844,413 N. Lindel,Martin,TN,38237,Weakley County,47183
226,35.0809636,-87.4336479,118 N. Military Road,Loretto,TN,38469,Lawrence County,47099
227,35.270534,-87.3196664,2116 N Locust Avenue,Lawrenceburg,TN,38464,Lawrence County,47099
